Asset_Identifier,Asset_Popularity_With_Funds,Asset_Risk_Type,Asset_Marketing_Proportion_Index,Asset_Category,Asset_Type,Asset_Type_ID,Asset_Price,Office_Establishment_Year,Office_Scale,Office_Location_Type,Office_Type,Office_Year,Office_Identifier,Office_ID,Asset_Office_Sales
FDA15,9.3,0,0.016047301,4,Bonds,1,249.8092,1999,1,0,1,14,OFF049,9,3735.138
DRC01,5.92,1,0.019278216,14,ETF,0,48.2692,2009,1,2,2,4,OFF018,3,443.4228
FDN15,17.5,0,0.016760075,10,Bonds,1,141.618,1999,1,0,1,14,OFF049,9,2097.27
FDX07,19.2,1,0.02291051,6,Bonds,1,182.095,1998,2,2,0,15,OFF010,0,732.38
NCD19,8.93,0,0.016164306,9,Private Equity,2,53.8614,1987,0,2,1,26,OFF013,1,994.7052
FDP36,10.395,1,0.091392321,0,Bonds,1,51.4008,2009,1,2,2,4,OFF018,3,556.6088
FDO10,13.65,1,0.012741089,13,Bonds,1,57.6588,1987,0,2,1,26,OFF013,1,343.5528
FDP10,19.0,0,0.127469857,13,Bonds,1,107.7622,1985,1,2,3,28,OFF027,5,4022.7636
FDH17,16.2,1,0.016687114,5,Bonds,1,96.9726,2002,2,1,1,11,OFF045,7,1076.5986
FDU28,19.2,1,0.09444959,5,Bonds,1,187.8214,2007,2,1,1,6,OFF017,2,4710.535
FDY07,11.8,0,0.121879573,6,Bonds,1,45.5402,1999,1,0,1,14,OFF049,9,1516.0266
FDA03,18.5,1,0.045463773,4,Bonds,1,144.1102,1997,2,0,1,16,OFF046,8,2187.153
FDX32,15.1,1,0.1000135,6,Bonds,1,145.4786,1999,1,0,1,14,OFF049,9,1589.2646
FDS46,17.6,1,0.047257328,13,Bonds,1,119.6782,1997,2,0,1,16,OFF046,8,2145.2076
FDF32,16.35,0,0.0680243,6,Bonds,1,196.4426,1987,0,2,1,26,OFF013,1,1977.426
FDP49,9.0,1,0.069088961,2,Bonds,1,56.3614,1997,2,0,1,16,OFF046,8,1547.3192
NCB42,11.8,0,0.008596051,8,Private Equity,2,115.3492,2009,1,2,2,4,OFF018,3,1621.8888
FDP49,9.0,1,0.069196376,2,Bonds,1,54.3614,1999,1,0,1,14,OFF049,9,718.3982
DRI11,8.26,0,0.034237682,7,ETF,0,113.2834,1985,1,2,3,28,OFF027,5,2303.668
FDU02,13.35,0,0.10249212,4,Bonds,1,230.5352,2004,2,1,1,9,OFF035,6,2748.4224
FDN22,18.85,1,0.138190277,13,Bonds,1,250.8724,1987,0,2,1,26,OFF013,1,3775.086
FDW12,8.315,1,0.035399923,0,Bonds,1,144.5444,1985,1,2,3,28,OFF027,5,4064.0432
NCB30,14.6,0,0.025698134,9,Private Equity,2,196.5084,2004,2,1,1,9,OFF035,6,1587.2672
FDC37,15.5,0,0.057556998,0,Bonds,1,107.6938,1985,2,0,0,28,OFF019,4,214.3876
FDR28,13.85,1,0.025896485,5,Bonds,1,165.021,1997,2,0,1,16,OFF046,8,4078.025
NCD06,13.0,0,0.099887103,9,Private Equity,2,45.906,2007,2,1,1,6,OFF017,2,838.908
FDV10,7.645,1,0.066693437,13,Bonds,1,42.3112,2004,2,1,1,9,OFF035,6,1065.28
DRJ59,11.65,0,0.019356132,7,ETF,0,39.1164,1987,0,2,1,26,OFF013,1,308.9312
FDE51,5.925,1,0.161466534,4,Bonds,1,45.5086,1998,2,2,0,15,OFF010,0,178.4344
FDC14,14.5,1,0.072221801,3,Bonds,1,43.6454,1985,2,0,0,28,OFF019,4,125.8362
FDV38,19.25,0,0.170348551,4,Bonds,1,55.7956,1998,2,2,0,15,OFF010,0,163.7868
NCS17,18.6,0,0.080829372,8,Private Equity,2,96.4436,2009,1,2,2,4,OFF018,3,2741.7644
FDP33,18.7,0,0.102678314,13,Bonds,1,256.6672,2009,1,2,2,4,OFF018,3,3068.0064
FDO23,17.85,0,0.164846377,1,Bonds,1,93.1436,2002,2,1,1,11,OFF045,7,2174.5028
DRH01,17.5,0,0.097904029,14,ETF,0,174.8738,1997,2,0,1,16,OFF046,8,2085.2856
NCX29,10.0,0,0.089291137,8,Private Equity,2,146.7102,1999,1,0,1,14,OFF049,9,3791.0652
FDV20,20.2,1,0.059511812,6,Bonds,1,128.0678,1985,1,2,3,28,OFF027,5,2797.6916
DRZ11,8.85,1,0.113123893,14,ETF,0,122.5388,2009,1,2,2,4,OFF018,3,1609.9044
FDX10,6.385,1,0.123111453,13,Bonds,1,36.9874,1985,1,2,3,28,OFF027,5,388.1614
FDB34,15.25,0,0.026480954,13,Bonds,1,87.6198,1985,1,2,3,28,OFF027,5,2180.495
FDU02,13.35,0,0.102511504,4,Bonds,1,230.6352,1997,2,0,1,16,OFF046,8,3435.528
FDK43,9.8,0,0.02681843,10,Bonds,1,126.002,1987,0,2,1,26,OFF013,1,2150.534
FDA46,13.6,0,0.117818348,13,Bonds,1,192.9136,1999,1,0,1,14,OFF049,9,2527.3768
FDC02,21.35,0,0.069102831,3,Bonds,1,259.9278,2009,1,2,2,4,OFF018,3,6768.5228
FDL50,12.15,1,0.042277867,3,Bonds,1,126.5046,1987,0,2,1,26,OFF013,1,373.5138
FDM39,6.42,0,0.089498926,4,Bonds,1,178.1002,1998,2,2,0,15,OFF010,0,358.2004
NCP05,19.6,0,0.028135431,8,Private Equity,2,153.3024,2002,2,1,1,11,OFF045,7,2428.8384
FDV49,10.0,0,0.025879577,3,Bonds,1,265.2226,2002,2,1,1,11,OFF045,7,5815.0972
FDL12,15.85,1,0.121632721,0,Bonds,1,60.622,1997,2,0,1,16,OFF046,8,2576.646
